% Users Dataset
@RELATION users

@ATTRIBUTE label_nominal {easy, difficult}
@ATTRIBUTE label_numeric NUMERIC
@ATTRIBUTE sensing_policy {NONE, LOCATION_UPDATES, INTERVAL, ACTIVITY_UPDATES, USER_FORCED}
@ATTRIBUTE num_wifi_devices NUMERIC
@ATTRIBUTE num_bluetooth_devices NUMERIC
@ATTRIBUTE accelerometer_mean_intensity NUMERIC
@ATTRIBUTE accelerometer_mean_intensity_crossing_rate NUMERIC
@ATTRIBUTE accelerometer_intensity_variance NUMERIC
@ATTRIBUTE gyroscope_mean_intensity NUMERIC
@ATTRIBUTE gyroscope_mean_intensity_crossing_rate NUMERIC
@ATTRIBUTE gyroscope_intensity_variance NUMERIC
@ATTRIBUTE microphone_mean NUMERIC
@ATTRIBUTE microphone_mean_crossing NUMERIC
@ATTRIBUTE google_activity {"In Vehicle", "On Bicycle", "On Foot", Walking, Still, Tilting, Running, Unknown}
@ATTRIBUTE charging {yes, no}
@ATTRIBUTE screen_on {on, off}
@ATTRIBUTE num_of_calendar_events NUMERIC
@ATTRIBUTE hour_of_day NUMERIC
@ATTRIBUTE t_started_pretty STRING

@DATA
easy,2,NONE,29,2,10.0493592816,117,0.202655717817,0.281407875262,51,0.131102070843,706,37,Still,no,?,?,13,'13:48:17 06/04/2016 '
easy,1,USER_FORCED,29,1,10.0678589188,138,0.0696432247192,0.158089037395,3,0.20998382059,974,46,Still,no,?,?,13,'13:49:26 06/04/2016 '
difficult,5,USER_FORCED,28,3,10.0258118962,31,0.00527256060123,0.00967238767987,16,0.000174746122745,1633,31,Tilting,no,?,?,13,'13:52:22 06/04/2016 '
difficult,5,USER_FORCED,16,2,9.96935770749,56,0.00182033229862,0.00570130701973,204,6.10576335396e-06,292,52,Still,no,?,?,18,'18:08:42 07/04/2016 '
difficult,4,USER_FORCED,24,0,9.99248258827,22,0.00461882362734,0.0048073457703,217,4.44113995232e-06,86,52,Still,yes,?,?,14,'14:00:19 15/04/2016 '
difficult,3,USER_FORCED,23,4,10.027794774,38,0.0100799177869,0.00601021947565,196,8.51747444512e-06,192,34,Still,no,?,?,10,'10:20:02 25/04/2016 '
difficult,4,ACTIVITY_UPDATES,26,1,10.0326236133,74,0.574418222582,0.171921150515,14,0.363402196428,509,12,Still,yes,?,0,11,'11:18:25 12/05/2016 '
difficult,4,ACTIVITY_UPDATES,26,?,9.79458377232,221,0.00746233452132,0.0107655240438,219,2.80839303748e-05,56,38,Still,no,?,?,10,'10:34:11 11/04/2016 '
difficult,3,NONE,22,?,9.78936445887,238,0.00719874972661,0.0105181653969,209,2.41795679672e-05,65,31,Still,no,?,?,10,'10:44:17 11/04/2016 '
difficult,4,LOCATION_UPDATES,21,?,9.77129901976,215,0.00422100443307,0.0104971464015,228,2.0951508873e-05,17,36,Still,no,?,?,10,'10:55:44 11/04/2016 '
difficult,4,ACTIVITY_UPDATES,16,?,9.79411944813,220,0.00447981682837,0.0105953485945,224,2.30166242197e-05,71,23,Still,no,?,?,11,'11:15:46 11/04/2016 '
